epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.439,2.23852,3.33594,1.66533,0.37626,0.32354,0.25644,0.0848,2.37291,2.30576,1.71089,0.000665367,0.000665367,0.000665367
2,187.114,2.32631,2.4064,1.76781,0.24887,0.33106,0.17322,0.05754,2.31628,2.38457,1.70799,0.00130566,0.00130566,0.00130566
3,270.741,2.31998,2.29649,1.75471,0.4217,0.24475,0.22374,0.071,2.42211,2.51314,1.83752,0.00191955,0.00191955,0.00191955
4,353.341,2.26734,2.20901,1.741,0.45168,0.40226,0.35846,0.11457,2.24769,1.97061,1.62171,0.0018812,0.0018812,0.0018812
5,436.26,2.19605,2.11404,1.66752,0.43189,0.40388,0.35492,0.12013,2.17448,2.14721,1.59555,0.0018416,0.0018416,0.0018416
6,519.735,2.10876,2.0026,1.61849,0.55761,0.45315,0.47922,0.18929,2.05997,1.72533,1.58196,0.001802,0.001802,0.001802
7,601.949,2.06558,1.91176,1.58367,0.48601,0.51616,0.42945,0.14593,2.12063,1.70564,1.60611,0.0017624,0.0017624,0.0017624
8,684.971,2.04724,1.84426,1.5745,0.53109,0.53702,0.52001,0.18901,2.02532,1.63333,1.48609,0.0017228,0.0017228,0.0017228
9,768.129,2.00695,1.81183,1.54421,0.6241,0.53635,0.56979,0.2375,1.98048,1.55243,1.52885,0.0016832,0.0016832,0.0016832
10,856.619,1.98378,1.77953,1.52782,0.62604,0.58643,0.59129,0.22524,1.95368,1.5373,1.46753,0.0016436,0.0016436,0.0016436
11,954.568,1.96091,1.72936,1.49823,0.59571,0.54847,0.58703,0.2431,1.95289,1.54809,1.48955,0.001604,0.001604,0.001604
12,1052.7,1.92717,1.68267,1.48114,0.62574,0.5564,0.58254,0.22572,1.93111,1.48514,1.45576,0.0015644,0.0015644,0.0015644
13,1150.39,1.91316,1.65268,1.46864,0.63876,0.57674,0.62017,0.25236,1.9289,1.44427,1.45782,0.0015248,0.0015248,0.0015248
14,1233.99,1.91763,1.6272,1.46074,0.66703,0.59062,0.62822,0.2813,1.84208,1.45279,1.42393,0.0014852,0.0014852,0.0014852
15,1316.37,1.87488,1.59112,1.45085,0.69828,0.5937,0.65189,0.29932,1.87529,1.38001,1.43297,0.0014456,0.0014456,0.0014456
16,1411.88,1.85921,1.58184,1.43358,0.69404,0.60465,0.65373,0.28164,1.90322,1.37141,1.41878,0.001406,0.001406,0.001406
17,1510.64,1.85077,1.53535,1.42192,0.68936,0.60589,0.66561,0.29521,1.82146,1.36786,1.41392,0.0013664,0.0013664,0.0013664
18,1603.9,1.83149,1.54316,1.41957,0.70273,0.61712,0.67501,0.29026,1.8525,1.35399,1.41051,0.0013268,0.0013268,0.0013268
19,1690.57,1.83408,1.51768,1.42006,0.68669,0.61254,0.67139,0.27048,1.92702,1.31827,1.4327,0.0012872,0.0012872,0.0012872
20,1773.9,1.8111,1.46489,1.41387,0.72198,0.61879,0.69654,0.29448,1.89347,1.3027,1.39694,0.0012476,0.0012476,0.0012476
21,1856.34,1.80059,1.45784,1.39922,0.69772,0.6078,0.66281,0.29922,1.84336,1.35818,1.41477,0.001208,0.001208,0.001208
22,1948.2,1.79038,1.42511,1.393,0.69319,0.63875,0.69066,0.30617,1.84623,1.2892,1.36602,0.0011684,0.0011684,0.0011684
23,2046.36,1.77878,1.42838,1.37945,0.71157,0.63651,0.69191,0.32813,1.82839,1.26598,1.38934,0.0011288,0.0011288,0.0011288
24,2145.58,1.75667,1.43273,1.37115,0.74187,0.65235,0.70966,0.33506,1.79799,1.2446,1.36877,0.0010892,0.0010892,0.0010892
25,2243.84,1.77502,1.40386,1.36593,0.73648,0.65017,0.7023,0.33919,1.79724,1.22873,1.35966,0.0010496,0.0010496,0.0010496
26,2341.53,1.74413,1.37068,1.36144,0.74317,0.63328,0.7196,0.33529,1.8167,1.21698,1.37326,0.00101,0.00101,0.00101
27,2437.36,1.71017,1.33852,1.34242,0.74989,0.64216,0.72495,0.33057,1.829,1.21554,1.37402,0.0009704,0.0009704,0.0009704
28,2535.06,1.7229,1.32911,1.34256,0.77903,0.65267,0.73743,0.35018,1.79563,1.1715,1.3649,0.0009308,0.0009308,0.0009308
29,2632.88,1.71769,1.31553,1.34207,0.77565,0.65629,0.74005,0.36132,1.78365,1.14214,1.35556,0.0008912,0.0008912,0.0008912
30,2725.26,1.69454,1.29805,1.32116,0.78655,0.66801,0.74507,0.3675,1.7837,1.14876,1.36551,0.0008516,0.0008516,0.0008516
31,2823.54,1.68229,1.2804,1.31909,0.78273,0.68096,0.75553,0.35567,1.78124,1.1498,1.35825,0.000812,0.000812,0.000812
32,2921.95,1.68009,1.27781,1.30793,0.77315,0.66317,0.74779,0.37637,1.75901,1.12495,1.35328,0.0007724,0.0007724,0.0007724
33,3020.01,1.66715,1.25083,1.30956,0.77367,0.65993,0.74439,0.37146,1.76564,1.13347,1.34485,0.0007328,0.0007328,0.0007328
34,3118.02,1.65377,1.23665,1.301,0.76844,0.65832,0.74949,0.36466,1.76856,1.11508,1.34725,0.0006932,0.0006932,0.0006932
35,3216.14,1.64952,1.23865,1.29655,0.77634,0.66074,0.75221,0.36723,1.78921,1.1163,1.3467,0.0006536,0.0006536,0.0006536
36,3314.23,1.62941,1.19525,1.28544,0.81126,0.68578,0.77629,0.39165,1.75551,1.06907,1.34466,0.000614,0.000614,0.000614
37,3411.97,1.61755,1.191,1.28345,0.78816,0.68659,0.76507,0.38805,1.73866,1.09178,1.33089,0.0005744,0.0005744,0.0005744
38,3507.58,1.61104,1.20379,1.27243,0.81084,0.68174,0.77021,0.39519,1.73859,1.08028,1.32166,0.0005348,0.0005348,0.0005348
39,3605.77,1.59986,1.17497,1.26866,0.80757,0.70508,0.77725,0.38705,1.75551,1.048,1.32384,0.0004952,0.0004952,0.0004952
40,3703.94,1.59344,1.16953,1.26391,0.79498,0.69952,0.76717,0.3909,1.76136,1.06048,1.33097,0.0004556,0.0004556,0.0004556
41,3850.08,1.56305,1.06503,1.27234,0.78893,0.70194,0.76957,0.38602,1.77255,1.0386,1.32944,0.000416,0.000416,0.000416
42,3947.74,1.53947,1.03629,1.25845,0.81833,0.68982,0.77778,0.39652,1.75014,1.04355,1.33846,0.0003764,0.0003764,0.0003764
43,4045.57,1.52165,1.02365,1.25199,0.80204,0.68726,0.77522,0.39132,1.75114,1.05442,1.33326,0.0003368,0.0003368,0.0003368
44,4143.56,1.51292,1.00389,1.24774,0.79748,0.70679,0.78,0.40327,1.72948,1.02912,1.32376,0.0002972,0.0002972,0.0002972
45,4241.2,1.48913,0.98047,1.2348,0.80446,0.72052,0.78762,0.40511,1.73175,1.00531,1.3201,0.0002576,0.0002576,0.0002576
46,4339.18,1.49296,0.9723,1.23752,0.81043,0.71729,0.78322,0.41052,1.72236,1.0104,1.32436,0.000218,0.000218,0.000218
47,4437.4,1.46799,0.95146,1.22547,0.81033,0.71092,0.78594,0.40734,1.7296,0.99422,1.32273,0.0001784,0.0001784,0.0001784
48,4534.56,1.46261,0.94056,1.21401,0.82525,0.71648,0.79315,0.41176,1.71788,0.99227,1.32014,0.0001388,0.0001388,0.0001388
49,4632.23,1.45691,0.93495,1.21096,0.82683,0.71736,0.7892,0.41058,1.71594,0.99286,1.32183,9.92e-05,9.92e-05,9.92e-05
50,4729.79,1.44552,0.93249,1.20502,0.82427,0.7123,0.79091,0.40964,1.71233,0.99267,1.31551,5.96e-05,5.96e-05,5.96e-05
